id,name,description,country,iata,icao,latitude,longitude,elevation
8118,Ormond Beach municipal Airport,Ormond Beach,United States,OMN,KOMN,29.1804,-81.06497,28
8119,Bad Neuenahr-Ahrweiler Airport,Bad Neuenahr,Germany,,EDRA,50.5578,7.13639,673
8120,Bad Duerkheim Airport,Bad Duerkheim,Germany,,EDRF,49.4731,8.19639,351
8121,Portland Troutdale,Troutdale,United States,TTD,KTTD,45.54937,-122.40125,39
8122,Portland Hillsboro,Hillsboro,United States,HIO,KHIO,45.54039,-122.94982,204
8123,One Police Plaza Heliport,New York,United States,,NK39,40.7126,-73.9996,244
8124,Leverkusen Airport,Leverkusen,Germany,,EDKL,51.0153,7.00556,157
8125,Suwannee County Airport,Live Oak,United States,24J,,30.30012,-83.02469,104
8126,Wershofen Eifel,Wershofen,Germany,,EDRV,50.45167,6.78444,1560
8127,FOB Salerno,Khost,Afghanistan,KHT,OAKS,33.3334,69.952,3756
8128,TCO,Tengiz,Kazakhstan,,,46.30306,53.4275,0
8129,TCO,Tengiz,Kazakhstan,,,46.30306,53.4275,0
8130,NAYPYITAW,NAYPYITAW,Burma,NYT,VYNT,19.374,96.121,294
8132,Maramba Aerodrome,Livingstone,Zambia,,,-17.8846,25.8468,0
8133,Bend Municipal Airport,Bend,United States,,KBDN,44.09456,-121.20022,3460
8134,Christmas Valley Airport,Christmas Valley,United States,,K62S,43.23653,-120.6661,4317
8135,Burns Municipal Airport,Burns,United States,,KBNO,43.59192,-118.95554,4159
8136,Prineville Airport,Prineville,United States,,KS39,44.28699,-120.90383,3250
8137,Red Bluff Municipal Airport,Red Bluff,United States,,KRBL,40.15069,-122.25231,352
8138,Gnoss Field Airport,Novato,United States,,KDVO,38.14361,-122.5561,2
8139,Lake County Airport,Lakeview,United States,,KLKV,42.16111,-120.39908,4733
8140,Tillamook Airport,Tillamook,United States,,KTMK,45.41824,-123.81438,36
8141,Ontario Municipal Airport,Ontario,United States,,KONO,44.01936,-117.01303,2193
8142,Columbia Gorge Regional - The Dalles Municipal Airport,The Dalles,United States,,KDLS,45.61856,-121.16733,247
8143,Montgomery County Airpark,Gaithersburg,United States,GAI,KGAI,39.1006,-77.09576,0
8144,Cincinnati Union Terminal,Cincinnati,United States,,,39.10996,-84.53707,497
8145,FOB Sharana,Sharan,Afghanistan,,,33.12777,68.83698,7400
8146,Sharona,Sharona,Afghanistan,AZ3,OASA,33.12772,68.83698,7400
8147,Pembroke Airport,Pembroke,Canada,YTA,CYTA,45.8644,-77.2517,529
8148,Tsumeb Airport,Tsumeb,Namibia,TSB,FYTM,-19.1542,17.4357,4353
8149,Suffield Heliport,Suffield,Canada,YSD,CYSD,50.26667,-111.183,2525
8150,Field 21,Wainwright,Canada,,,52.8306,-111.101,2260
8151,Field 21,Wainwright,Canada,,,52.8306,-111.101,2260
8152,Aeroporto Blumenau,BLUMENAU,Brazil,BNU,SSBL,-26.83424,-49.0917,70
8153,Aeroclub Mures,Targu Mures,Romania,,LRMS,46.3201,24.3157,1000
8154,Aeroclub Sibiu,Sibiu,Romania,,,45.4649,24.053,1451
8155,Aeroclub Sibiu,Sibiu,Romania,SIB,,45.4649,24.053,1451
8156,Bolshoe Gryzlovo,Stupino,Russia,,UUDG,54.78667,37.64917,797
8157,Aerodrom Cioca,Timisoara,Romania,,,46.436,24.4445,280
8158,Aeroclub Cioca,Timisoara,Romania,CIO,LRT2,45.47101,21.11197,280
8159,Crocodile Camp Air Strip,Tsavo East,Kenya,,,-3.0764,39.2428,0
8160,Crocodile Camp Air Strip,Tsavo East,Kenya,,,-3.0764,39.2428,0
8161,Cleveland Clinic,Cleveland,United States,,CCLN,41.50225,-81.62233,0
8162,Charlevoix Municipal Airport,Charelvoix,United States,CVX,KCVX,45.30478,-85.27533,669
8163,Quincy Municipal Airport,Quincy,United States,2J9,,30.59787,-84.55742,225
8164,Pferdsfeld,Pferdsfeld,Germany,,ETSP,49.85778,7.60417,492
8165,Mykines Heliport,Mykines,Faroe Islands,,EKMS,62.1021,-7.6459,112
8166,V-A Waterfront,Cape Town,South Africa,,,-33.90116,18.4259,0
8167,Steenberg Helipad,Cape Town,South Africa,,,-34.07058,18.42407,50
8168,Steenberg Helipad,Cape Town,South Africa,,,-34.07058,18.42407,50
8170,Roche Harbor Seaplane Base,Roche Harbor,United States,RCE,,48.60806,-123.15972,0
8171,Blakely Island Airport,Blakely Island,United States,BYW,,48.56025,-122.80243,0
8172,Rosario Seaplane Base,Rosario,United States,RSJ,,48.64556,-122.86806,0
8173,Westsound Seaplane Base,Westsound,United States,WSX,,48.61778,-122.95278,0
8174,Friday Harbor Seaplane Base,Friday Harbor,United States,FBS,,48.53722,-123.00972,0
8175,Big Bay Water Aerodrome,Big Bay,Canada,YRR,,50.4,-125.13333,0
8176,Furnace Creek,Death Valley National Park,United States,L06,,36.273,-116.515,0
8177,Cornwall Regional Airport,Cornwall,Canada,YCC,CYCC,45.09278,-74.56778,175
8178,Seppe,Bosschenhoofd,Netherlands,,EHSE,51.3317,4.339,30
8179,St.Stephan,St.Stephan,Switzerland,,LSTS,46.49744,7.41257,3304
8180,Zona da Mata Regional Airport,Juiz de Fora,Brazil,IZA,SDZY,-21.51306,-43.17306,1348
8181,Aeroclub Ghimbav,Brasov,Romania,,LRBG,45.4153,25.3137,1743
